record_id,Wave,Cohort,PID,birth_sex,participant_age,Alerting_Z,Orienting_Z,Flanker_Z,OBJ_AvgPickups_Z,OBJ_AvgNotifs_Z,OBJ_Usage.DailyHourlyAverage.Z,sas_agg.clean.Z,MTES_SocialMediaUse_TimeOnApp.sum,MTES_PhoneChecking.mean,MTES_PublicUpdates.mean,MTES_SocialMediaUse_TimeOnApp.sum.z,MTES_PhoneChecking.mean.z,MTES_PublicUpdates.mean.z,MTES_Total_Original.z,SSM,hdprime,ldprime,overall_dprime,average_dti_fa,des_agefirst,years_of_use,Barratt_sum_score,texi_sum_score,texi_z_score,Bar_z
1457,1,1,1080,2,11,0.297385829,-0.381595967,0.179065487,-0.568463339,-0.136336337,0.147683263,0.352266023,8,4,0,-0.612722864,0.509046719,-1.176730834,-0.426802326,0.07314696,NA,NA,NA,NA,10,1,19,38,-0.679697759,0.467031466
1462,1,1,1112,1,7,0.941775848,-0.799818442,0.912006738,NA,NA,NA,NA,0,0,0,-1.630689034,-1.924786075,-1.176730834,-1.577401981,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,18,46,0.013448447,-0.684102429
1463,1,1,1099,1,10,-1.370603289,1.115677425,2.048852104,NA,NA,-1.302104685,-1.782721389,13,1.666666667,3.5,0.023505992,-0.910689077,1.03948456,0.050767159,-3.034058915,2.472514058,1.705421183,2.065840299,NA,10,0,20,58,1.053167757,-0.684102429
1468,1,1,1113,1,7,-1.223477985,1.798527775,0.359736368,NA,NA,NA,NA,0,0.333333333,0,-1.630689034,-1.721966675,-1.176730834,-1.509795514,#VALUE!,1.9969293,1.561636309,1.73929329,NA,NA,#VALUE!,21,52,0.533308102,-0.45387565
1473,1,1,1083,1,10,0.080208873,1.173467949,-0.577149316,NA,NA,NA,NA,0,0,0,-1.630689034,-1.924786075,-1.176730834,-1.577401981,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,23,43,-0.24648138,0.927485023
1474,1,1,1084,1,7,NA,NA,NA,NA,NA,NA,NA,0,0,0,-1.630689034,-1.924786075,-1.176730834,-1.577401981,#VALUE!,0.758876203,0.101932011,0.427780256,NA,NA,#VALUE!,17,34,-1.026270862,1.387938581
1477,1,1,1095,1,11,-0.415155043,1.493852287,-1.138253533,-0.607493508,-0.539040467,0.188974691,-0.526846441,7,3.666666667,0.5,-0.739968635,0.30622732,-0.860128635,-0.431289983,-0.769161733,1.736436502,1.736436502,1.736436502,NA,6,5,20,48,0.186734999,-1.605009544
1484,1,1,1103,1,7,1.250061191,-0.342912714,1.055098196,NA,NA,NA,NA,0,0,0,-1.630689034,-1.924786075,-1.176730834,-1.577401981,#VALUE!,NA,NA,NA,NA,NA,#VALUE!,22,49,0.273378275,0.697258245
1485,1,1,1086,1,8,NA,NA,NA,-1.153915874,-1.207681286,NA,-0.652433936,2,1.333333333,0.5,-1.376197492,-1.113508477,-0.860128635,-1.116611534,#VALUE!,2.075462281,1.296918435,1.604359726,NA,7,1,16,33,-1.112914138,0.697258245
1489,1,1,1085,2,9,NA,NA,NA,-0.412342663,-0.911351832,-0.756140236,-0.150083957,3,2.666666667,0,-1.248951721,-0.302230879,-1.176730834,-0.909304478,-1.815528671,1.043153747,0.626099012,0.831800435,NA,6,3,22,50,0.36002155,0.236804687
1491,1,1,1088,1,11,-0.217790676,-0.577178712,1.280415025,-1.144158331,-1.055717463,NA,-0.903608925,8,3.333333333,0.5,-0.612722864,0.10340792,-0.860128635,-0.456481193,#VALUE!,1.9969293,2.44186403,2.180140827,NA,6,5,12,48,0.186734999,NA
1493,1,1,1100,1,11,NA,NA,NA,NA,NA,NA,-1.154783915,6,2,2,-0.867214407,-0.707869678,0.089677963,-0.495135374,#VALUE!,NA,NA,NA,NA,7,4,20,31,-1.286200689,1.157711802
1496,1,1,1091,2,11,NA,NA,NA,NA,NA,NA,NA,12,0,3.5,-0.103739779,-1.924786075,1.03948456,-0.329680431,#VALUE!,0.335500419,0,0.21986859,NA,NA,#VALUE!,13,31,-1.286200689,-1.374782765
1497,1,1,1090,1,10,0.892573524,-1.059233854,1.211637145,NA,NA,-0.935069761,0.477853517,14,4,2,0.150751764,0.509046719,0.089677963,0.249825482,-0.207390762,NA,NA,NA,NA,7,3,NA,NA,NA,NA
1498,1,1,1081,2,9,0.609767045,-1.247750015,-0.233913325,NA,NA,NA,-0.903608925,4,0,1,-1.121705949,-1.924786075,-0.543526436,-1.19667282,#VALUE!,0.54472097,0.141819178,0.343873272,NA,NA,#VALUE!,18,44,-0.159838104,-0.223648871
